sleeper_id,my_name,ktc_slug,ktc_playerID,ktc_name,note
7567,Kenny Gainwell,kenneth-gainwell-1032,1032,Kenneth Gainwell,Name variant Kenny->Kenneth; RB TB matches
8210,Chig Okonkwo,chigoziem-okonkwo-1320,1320,Chigoziem Okonkwo,Name variant Chig->Chigoziem; TE WAS matches
8122,Zonovan Knight,bam-knight-1186,1186,Bam Knight,Zonovan "Bam" Knight; RB ARI matches
