player,dp_value,dp_rank,ktc_value,ktc_rank,fc_value,fc_rank,spread,fc_vs_consensus
James Conner,29.0,260,1724.0,283,553.0,260,23,11.5
Christian Kirk,33.0,255,1784.0,278,388.0,272,23,-5.5
Cooper Kupp,21.0,275,1680.0,288,693.0,243,45,38.5
Emanuel Wilson,34.0,254,1789.0,277,365.0,275,23,-9.5
LeQuint Allen Jr.,13.0,300,2033.0,243,475.0,265,57,6.5
Isaiah Bond,20.0,278,1956.0,254,339.0,280,26,-14.0
Ja'Tavion Sanders,17.0,287,1974.0,252,374.0,273,35,-3.5
Devin Neal,28.0,262,1884.0,265,305.0,285,23,-21.5
Evan Engram,21.0,277,1764.0,280,593.0,255,25,23.5
Jalen Royals,24.0,270,1817.0,273,369.0,274,4,-2.5
Isaiah Davis,18.0,282,1864.0,270,469.0,266,16,10.0
Adam Randall,22.0,272,1654.0,294,565.0,257,37,26.0
Cole Kmet,21.0,273,1920.0,259,216.0,304,45,-38.0
DeMario Douglas,26.0,268,1871.0,267,217.0,303,36,-35.5
Eli Heidenreich,20.0,281,1758.0,281,360.0,276,5,5.0
Trevor Etienne,15.0,293,1911.0,261,300.0,286,32,-9.0
Darnell Washington,24.0,271,1868.0,269,222.0,301,32,-31.0
Zavion Thomas,11.0,309,1851.0,272,476.0,264,45,26.5
Tyquan Thornton,20.0,279,1779.0,279,256.0,292,13,-13.0
Dont'e Thornton Jr.,10.0,316,1916.0,260,351.0,278,56,10.0
Will Howard,18.0,284,1714.0,284,290.0,287,3,-3.0
Garrett Nussmeier,29.0,258,1444.0,311,263.0,291,53,-6.5
Quinn Ewers,17.0,289,1687.0,287,285.0,289,2,-1.0
Taylen Green,26.0,266,1330.0,319,308.0,284,53,8.5
Jalen Tolbert,18.0,283,1809.0,275,168.0,312,37,-33.0
Ben Sinnott,20.0,280,1735.0,282,192.0,308,28,-27.0
Jaylin Lane,11.0,314,1929.0,257,224.0,300,57,-14.5
Cedric Tillman,26.0,265,1706.0,286,140.0,322,57,-46.5
Brashard Smith,16.0,291,1666.0,290,250.0,294,4,-3.5
